Ratio,mA1,sA1,iA1,mA2,sA2,iA2,mA3,sA3,iA3,mA4,sA4,iA4,mA11,sA11,iA11,mA12,sA12,iA12,mA13,sA13,iA13,mA14,sA14,iA14,mA21,sA21,iA21,mA22,sA22,iA22,mA23,sA23,iA23,mA24,sA24,iA24,mA31,sA31,iA31,mA32,sA32,iA32,mA33,sA33,iA33,mA34,sA34,iA34,mA41,sA41,iA41,mA42,sA42,iA42,mA43,sA43,iA43,mA44,sA44,iA44,Label
20,69.2,22.43,33.69,0.23,9.17,12.22,0.09,4.25,5.23,-0.02,3.53,4.46,139.1,40.84,62.98,-2.08,13.85,18.29,0.49,8.82,12.08,0.18,8.41,10.42,0.18,10.02,13.24,-1.42,12.34,16.78,-0.18,5.48,6.99,0.46,7.14,9.33,-0.05,3.53,3.59,-0.02,2.95,3.65,0.07,5.34,6.81,0.03,4.71,6.22,-0.18,2.46,3.1,-0.02,2.66,3.27,0.28,3.91,5.81,0.17,4.63,5.85,-1
26.32999992,68.91,20.59,29.43,-0.22,10,13.37,0.12,5.71,6.23,-0.08,3.68,5.12,141.43,33.65,47.4,-0.51,17.25,22.56,-1.88,11.88,15.93,0.68,11.04,14.63,-0.2,8.75,11.98,-2.64,14.36,19.34,0.37,5.48,7.78,0.27,9.19,12.69,0.16,5.57,4.54,0.41,3.21,4.19,-0.87,7.32,7.55,0.29,5.82,7.68,0.04,1.64,2.3,0.05,2.67,3.48,-0.39,3.34,4.41,-0.54,5.72,7.87,-1
12.57999992,147.99,38.61,52.04,-0.48,15.47,20.77,0.19,8.43,10.76,-0.2,6.52,8.16,302.5,68.39,103.23,2.82,27.52,35.34,0.22,17,22.66,-1.63,15.24,20.46,-1.04,15.08,18.81,2.08,22.07,30.48,-0.47,9.05,12.65,-0.37,12.67,17.74,0.15,6.56,6.39,0.25,5.39,7.16,-1.29,10.8,12.79,-0.91,9.68,12.79,-0.18,4.33,5.43,-0.2,4.99,6.9,0.57,6.84,9.43,-1.76,8.82,9.97,-1
7.050000191,130.45,30.84,42.3,-0.06,15.06,18.49,0.33,6.45,7.93,0.08,5.71,7.13,265.88,54.88,81.15,0.14,20.39,27.85,-0.22,14.25,18.47,0.55,13.16,16.12,0.08,15.62,19.95,-1.72,20.68,23.57,-0.01,10.14,14.27,-1.16,11.03,14.31,0.28,4.66,5.18,-0.13,4.15,4.83,0.2,8.19,10.97,0.03,7.68,10.51,-0.27,3.74,4.71,-0.41,4.09,4.36,0.05,6.78,8.02,0.73,7.23,9.79,-1
17.70999908,117.02,26.56,35.96,-0.46,13.76,19.1,0.05,7.96,9.43,-0.1,5.86,7.42,237.73,41.2,51.34,-2.2,25.74,33.9,-1.12,16.27,20.37,0.51,13.77,19.17,-0.42,13.4,19.3,-0.02,18.53,24.96,-0.71,9.79,13.71,-1.85,11.71,16.84,0.07,6.04,5.91,-0.62,5.03,6.32,2.02,9.8,12.06,-0.68,9.54,11.68,-0.14,3.98,5.14,0.46,4.53,5.65,0.49,6.57,8.7,-0.14,7.59,11.09,-1
5.590000153,164.57,36.96,54,-0.6,15.79,21.16,0.18,7.87,9.28,-0.08,5.92,7.59,332.23,64.18,104.25,-1.29,27.8,36.28,-1.36,17.37,24.86,-0.09,16.34,22.85,0.83,15.98,20.82,4.3,21.38,29.12,-0.47,10.66,14.64,-0.2,12.44,17.53,-0.42,6.39,6.68,-0.07,4.24,5.33,1.3,10.54,14.84,0.96,8.63,11.17,0.02,3.82,4.76,-0.2,4.43,5.9,0.66,6.81,9.14,-0.77,7.57,9.84,-1
3.940000057,153.26,27.12,35.74,-1.47,16.17,21.69,0.2,7.56,9.25,0.07,6.38,8.12,304.54,40.99,63.28,0.07,26.1,37.72,0.71,17.88,23.79,-0.66,16.09,21.14,-1.16,16.4,22.09,1.17,21.52,29.37,-0.75,11.89,16.05,-0.65,13,16.16,0.13,5.31,5.8,0.36,4.62,5.7,-0.41,10.03,12.32,2.12,8.81,12.34,0.1,4.11,4.64,0.33,4.57,5.07,-0.97,7.34,9.56,-1.46,8.24,9.86,-1
11.68999958,158.61,37.29,55.25,-0.34,16.21,20.82,-0.05,7.84,8.87,-0.05,5.26,6.63,320.49,65.33,97.56,2.54,27.44,36.29,0.7,17.88,26.03,1.95,14.72,19.1,-0.56,17.17,19.98,0.28,22.61,26.52,-0.92,9.85,11.85,-0.7,12.09,15.89,-0.08,7.42,6.09,0.43,4.41,5.15,-0.21,10.12,12.41,-0.1,8.24,11.1,-0.1,3.77,4.96,-0.01,4.31,5.27,-0.36,5.78,8.09,-0.78,6.61,8.65,-1
4.389999866,150.36,29.25,41.45,-0.23,17.1,22.23,-0.1,8.37,10.85,0.03,6.47,7.86,303.13,43.91,59.74,-3.49,27.88,36.55,0.04,21.34,29.08,0.39,16.02,22.84,-0.48,16.69,22.26,2.95,23.46,33.25,0.21,10.89,13.63,-1.47,14.78,19.77,-0.56,5.48,7.09,0.2,4.6,5.52,0.34,10.68,13.6,0.28,10.73,13.75,0.09,4.24,4.92,0.1,4.81,6.11,-0.01,7,9.73,0.35,8.78,11.98,-1
74.5,133.37,33.64,38.58,-0.05,15.9,21.15,-0.06,9.33,10.22,0.38,6.29,7.63,270.01,55.29,64.78,1.1,28.59,34.17,-0.75,18.99,24.32,1.51,16.72,20.88,-1.22,15.16,20.18,-0.42,22.31,32.52,1.11,10.12,12.96,-1.19,13.41,17.55,-0.16,8.48,6.38,-0.11,5.12,6.43,2.59,12.01,14.28,0.55,9.75,14.1,0.24,3.57,4.83,-0.14,4.74,5.18,0.35,6.74,8.88,0.94,8.78,11.66,-1
11.64000034,104.83,25.14,32.33,0.43,13.02,17.96,0.13,6.74,8.1,0.11,4.82,6.19,209.28,43.03,58.23,0.6,19.35,24.78,0.48,13.56,17.86,1.16,10.86,14.96,-0.05,12.51,15.51,-1.2,18.24,25.34,-0.3,8.66,12.11,0.1,10.53,13.24,0.04,5.37,5.25,-0.43,3.95,4.9,-0.16,8.39,9.3,-0.44,8.18,10.14,-0.08,3.4,4.22,0.22,3.39,4.24,-0.59,5.22,7.67,-0.22,6.46,8.41,-1
6.050000191,118.52,24.73,30.4,0.94,12.97,16.18,0.34,5.36,5.7,-0.19,4.21,5.23,237.16,41.55,51.02,-1.29,21.79,28.58,-0.23,11.87,17.51,0.46,9.84,12.45,1.9,13,17.06,1.01,18.83,24.5,0.03,7.48,9.99,-0.28,9.63,11.93,0.48,5.37,5.31,-0.04,3.28,4.01,-0.22,6.82,8.1,-0.29,5.37,6.8,-0.04,2.95,3.84,-0.01,2.82,3.44,0.33,4.95,5.81,0.52,5.39,7.66,-1
5.190000057,143.86,21.68,29.51,-0.26,15.92,16.63,0.39,6.11,7.42,-0.12,5.08,5.8,289.28,31.64,45.97,1.69,23.93,30.88,-0.28,12.5,17.42,0.7,12.22,16.19,0.09,18.08,16.34,-0.11,22.42,24.62,0.48,9.01,11.73,-0.17,9.88,13.84,-0.05,4.67,4.77,-0.3,3.78,4.65,0.14,8.03,10.63,0.65,6.9,8.27,-0.01,4.04,4.33,0,3.56,4.19,-0.55,5.58,7.2,-0.26,6.57,7.74,-1
5.71999979,145.74,33.29,45.46,-0.56,16.64,21.09,0.22,8,9.61,-0.13,6.13,8.45,290.33,55.19,74.88,-1.25,28.92,35.12,0.56,17.61,25.22,-0.77,15.42,20.31,-0.38,15.66,18.95,-1.4,23.31,29.38,0.59,10.86,14.62,0.1,14.02,19.09,0,5.4,6.44,0.02,4.66,5.61,-0.95,10.14,12.3,-0.53,9.92,13.66,-0.48,4.19,5.22,0.37,4.63,5.4,0.28,6.75,9.16,-0.04,8.09,10.96,-1
8.600000381,123.23,34.08,47.63,-0.65,14.85,20.51,0.23,8.52,9.39,0.3,6.28,8.08,246.58,58.95,83.98,1.9,24.64,29.11,-0.15,17.24,23.5,0.4,16.24,20.8,0.04,15.11,19.96,2.42,19.05,24.05,-0.42,10.06,12.19,0.18,13.72,18.85,0.17,7.5,6.59,0.17,4.56,5.3,1.13,11.25,14.19,-0.71,8.99,11.89,-0.08,4.47,5.91,0.53,4.55,6.38,0.44,7.55,9.03,0.01,7.75,10.14,-1
8.760000229,134.74,31.29,39.97,-0.58,16.39,23.03,0.15,8.71,10.73,0.08,6.56,9.2,269.95,48.54,59.66,2.47,30.15,36.14,1.23,19.34,26.28,-0.1,16.19,22.94,0.05,15.71,18.31,0.43,22.78,33.11,-0.05,10.6,14.62,1.52,13.96,18.01,-0.02,7.82,6.68,0.44,4.82,5.89,1.72,11.26,12.72,-1.57,9.27,13.46,-0.01,4.13,5.31,0.14,4.65,6.24,-0.53,6.92,8.3,1.39,9.18,12.19,-1
4.789999962,154.38,27.27,37.14,-0.69,16.42,22,0.19,7.09,9.24,0.03,6.3,8.07,307.18,41,61.57,0.12,26.52,35.91,0.98,16.76,23.12,0.99,17.56,23,1.79,17.5,23.64,-0.22,21.21,23.57,-0.16,11.9,17.38,0.28,13.45,18.67,-0.17,4.7,6.04,-0.03,4.57,5.84,0.87,9.19,12.86,-0.75,8.5,12.25,-0.05,4.56,5.91,-0.11,4.58,4.99,0.44,7.12,9.67,0.99,8.03,10.51,-1
5.53000021,151.91,32.26,39.6,0.46,16.64,22.26,0.11,7.68,10.16,-0.02,6.39,8,305.1,52.09,64.87,-0.65,28.68,32.87,-0.62,18.27,26.04,0.29,17.11,23.57,0.45,16.48,23.19,-1.15,23.32,29.03,-0.09,10.69,14.05,0.68,13.31,18.25,0.56,4.85,5.99,0.05,4.75,6.1,0.5,9.99,13.91,-0.07,9.46,12.92,0.01,4.49,5.34,-0.04,4.6,5.43,0.67,6.89,8.75,0.09,8.6,11.68,-1
5.150000095,154.09,28.97,37.91,0.66,12.72,16.68,0.04,7.35,8.3,0.09,5.96,7.9,311.05,50.71,69.02,-0.99,20.13,26.64,-1.21,14.38,19.82,-0.69,13.06,18.94,1.68,13.3,17.55,-0.98,15.79,20.83,-0.06,8.73,11.15,-0.51,11.92,15.24,0.01,6.37,6.3,0.24,4.6,5.54,-0.24,9.43,11.62,1.18,8.05,11.15,-0.1,4.09,5.42,-0.01,4.37,5.93,0.19,7.03,9.77,-0.33,7.54,10.32,-1
23.32999992,115.11,32.73,43.93,-0.31,15.59,19.97,0,8.33,9.31,-0.16,5.8,7.2,228.23,55.66,78.8,-2.43,25.75,32.58,1.75,16.74,17.7,-0.02,15.51,21.03,0.64,16.35,18.32,-0.66,20.55,27.35,-0.09,10.16,12.71,-0.48,13.35,17.29,-0.24,6.83,5.67,0.02,4.39,5.15,0.29,11.39,13.11,-0.14,8.91,11.93,0.18,3.86,4.7,-0.19,3.9,4.83,0.07,6.72,8.98,1,7.67,10.15,-1
21.5,107.36,35.68,47.18,-0.35,15.07,18.32,-0.09,9.48,11.33,-0.26,6.56,8.7,210.6,61.94,91.5,-0.89,26.78,31.81,-1.18,17.07,20.83,-0.84,15.71,21.53,-0.99,14.76,16.74,1.56,20.56,22.84,1.15,9.2,12.63,-1.44,13.43,16.73,-0.61,8.23,8.06,0.18,5.72,7.63,-0.29,12.78,16.08,0.67,9.73,12.86,-0.07,4.42,5.52,-0.26,4.87,6.37,0.03,7.37,9.87,0.4,8.62,11.81,-1
12.39999962,117.78,25.64,34.38,0.07,13.84,18.87,0.17,7.44,9.15,0.12,6.23,7.94,240.57,39.13,52.68,-1.33,24.52,32.24,0.98,16.13,19.13,0.15,15.24,21.65,-0.35,13.79,19.5,0.71,18.51,24.15,0.97,9.55,13.3,1.44,11.9,15.72,-0.13,5.34,5.82,-0.01,4.62,5.1,0.75,9.89,13.05,1.16,8.52,12.08,0.18,4.16,5.21,-0.06,4.24,5.29,0.53,7.1,9.19,1.55,8.25,11.44,-1
5.389999866,183.32,32.94,46.94,-0.66,16.5,22.21,0.09,7.76,9.54,0.29,6.06,7.98,367.18,54.87,79.06,-2.79,27.25,39.57,-2.13,18.96,28.38,-0.92,15.04,20.85,-1.09,16.71,23.85,1.03,22.78,32.26,1.47,11.24,14.51,-1.03,12.76,16.59,-0.43,5.7,6.36,-0.34,4.56,5.86,0.83,10.38,14.48,-0.09,8.88,10.16,-0.03,3.93,4.96,0.02,4.1,5.54,0.79,7.55,10.92,-0.55,7.58,10.41,-1
7.449999809,163.84,39.65,59.24,-0.65,16.07,20.75,-0.21,7.61,9.31,0.21,5.96,7.95,331.61,70.94,114.74,-0.95,27.39,38.27,1.11,17.04,22.25,-0.13,14.67,18.53,-0.08,16.34,20.36,-0.76,22.35,30.06,-0.28,9.66,12.13,-0.79,13.12,16.03,0.04,5.23,6.71,0.24,4.65,5.89,0.34,10.19,12.96,-0.44,8.85,11.61,0.27,4.43,5.45,-0.3,4.58,6.1,1.13,6.21,8.9,-0.42,7.86,11.32,-1
5.190000057,151.54,29.53,41.38,-0.62,17.56,22.49,0.02,8.48,10.87,0.04,6.5,8.19,306.37,43.75,60.5,0.71,29.47,40.8,-1.21,20.35,26.97,0.33,17.02,22.33,-0.06,17.8,21.11,-4.07,23.67,31.11,-0.28,11.54,17.28,0.62,14.5,20.51,-0.39,5.69,6.97,-0.13,4.76,5.96,0.05,10.89,15.07,-0.23,10.69,15.04,0.23,3.99,4.93,-0.27,4.92,5.72,-0.26,7.1,10.13,-0.51,8.85,11.92,-1
10.80000019,113.33,26,33.56,0.38,11.97,15.17,0.13,5.07,5.49,0.02,3.5,4.09,228.1,44.32,53.76,-2.1,21.89,29.59,-0.5,13.89,17.23,0.26,10.65,14.53,1.81,11.73,16.83,2.59,17.49,23.18,0.27,6.42,8.2,0.02,9.59,12.59,-0.45,5.77,4.31,-0.2,3.32,2.96,-0.22,7.39,7.69,0.31,5.24,6.99,-0.04,2.46,2.41,0.09,2.89,3.3,-0.47,3.98,4.92,-0.19,4.74,5.74,-1
9.43999958,158.89,36.56,50.88,-0.26,16.85,21.61,-0.02,7.61,8.32,-0.09,5.64,7,318.75,66.91,89.62,0.21,25.95,36.33,-0.16,16.68,22.89,-0.08,14.59,20.17,0.5,19.08,22.01,-4.64,23.17,27.75,-1.06,11.05,12.96,1.23,12.76,16.28,-0.31,8.55,5.73,-0.17,4.78,5.05,-0.82,10.83,11.89,0.61,8.31,10.54,-0.15,4.21,4.37,0.1,4.35,5.09,-1.53,6.46,8.51,-0.85,7.35,9.65,-1
60.5,87.08,28.21,34.81,0.2,12.18,16.17,0.18,4.44,4.98,0.02,3.81,4.33,175.39,52.27,58.92,-0.99,19.74,27.2,-0.11,11.61,16.15,-0.22,9,10.61,1.56,13.72,17.81,-0.64,17.6,22.72,-0.53,7.35,9.15,0.79,8.07,10.22,-0.01,5.29,3.04,0.18,3.06,2.98,0.74,6.14,7.12,0.77,4.77,5.56,0.03,2.96,3.02,0.06,2.85,3.33,0.08,4.8,6.11,-0.66,4.65,6.32,-1
8.399999619,189.64,44.82,59.31,-0.51,19.64,25.18,0.59,9.34,11.35,0.27,7.68,9.68,388.69,81.6,117.84,1.18,26.18,31.83,1.99,19.54,25.05,-0.57,17.44,20.6,0.2,21.01,27.33,3.24,24.85,29.89,0.66,12.76,16.45,0.31,17.75,24.22,0.2,7.01,7.9,-0.11,5.43,6.83,0.19,11.95,16.9,-0.9,11.29,15.29,0.12,5.02,6.09,-0.15,5.23,6.85,-0.35,9.35,13.53,1.18,9.57,13.8,-1
6.900000095,124.6,41.57,61.74,0.13,11.98,14.49,0.2,4.74,5.01,-0.11,3.82,4.42,251.33,78.85,119.7,-2.08,21.36,26.72,-0.73,11.52,16.05,-0.25,9.6,12.04,1.28,15.58,16.7,1.65,17.37,22.76,-1.11,7.69,9.71,0.39,8.12,10.24,-0.14,5.92,3.37,-0.23,3.07,3.03,-0.24,6.84,6.87,-0.25,4.83,5.42,-0.17,2.67,2.76,-0.08,3.24,3.24,-0.02,4.71,5.58,0.11,4.8,5.86,-1
14.18000031,111.83,28.81,36.16,-0.88,14.46,19.27,0.26,6.44,7.98,0.06,5.47,6.84,226.74,49.62,56.92,1.41,26.27,32.78,-0.33,14.06,20.34,-0.29,14.89,18.74,-0.71,15.3,17.84,-0.78,19.9,23.76,0.31,10.37,12.29,-0.36,13.03,18.09,0.31,7.27,5.58,0.53,4.31,5.29,-0.63,8.85,10.59,-0.4,7.06,9.08,-0.16,3.83,4.17,-0.09,4.28,4.97,0.68,6.3,8.12,-0.78,7.26,9.49,-1
6.380000114,118.83,24.87,32.37,-0.87,14.85,19.89,0.03,5.23,6.52,0.04,4.88,6.18,238.77,39.4,48.16,0.15,23.71,33.41,-0.97,14.19,19.78,0.11,11.11,14.72,-1.7,14.97,19.91,-2.35,20.58,27,1.03,10.27,14.24,1.02,11.57,16.56,-0.06,4.36,4.1,0.1,3.89,4.28,0.41,7.08,8.75,-0.01,6.23,7.64,0.17,3.53,4.23,0.09,3.59,4.65,-0.11,5.72,7.06,-0.12,6.29,7.54,-1
7.679999828,130.34,26.97,34.05,0.97,15.45,20.57,0.02,6.78,7.76,-0.14,5.45,7.18,261.67,41.55,48.1,-2.19,28.26,33.25,0.04,14.45,19.33,0.23,13.4,17.34,1.02,15.3,20.84,-2.71,21.9,28.18,-0.17,10.3,12.69,1.7,11.48,16.6,0.02,5.79,4.91,0.17,4.9,5.05,1.57,8.94,10.31,0.86,8.12,9.76,-0.34,3.93,4.29,-0.27,4.06,4.55,0.32,6.24,6.74,-0.97,7.29,10.23,-1
7.25,146.66,34.98,51.55,0.85,15.61,21.13,0.17,7.26,7.85,-0.04,5.11,6.09,298.05,61.37,85.84,-3.26,25.06,33.05,-0.84,17.44,23.66,-0.43,13.76,20.47,2.34,16.53,23.6,-0.4,20.08,26.12,0.13,10.17,12.66,0.57,13.88,17.16,0.02,6.31,5.08,0.21,3.73,4.27,-0.96,9.76,11.82,-0.17,7.76,10.69,-0.04,3.3,3.68,-0.2,2.91,3.39,0,6.25,8.1,-0.13,6.77,8.42,-1
6.320000172,153.2,33.02,43.45,0.53,16.79,22.73,0.5,8.94,10.93,0.13,7.57,9.62,310.36,56.06,74.96,0.05,24.76,33.97,-0.06,18.21,25.39,-0.06,16.54,23.32,1.63,16.02,20.88,2.33,22.58,29,-0.16,11.66,15.37,1.23,14.79,20.55,0.15,5.63,8.1,0.14,5.82,7.04,0.28,11.21,15.91,0.26,11.31,13.91,0.59,4.56,5.79,-0.04,5.47,6.44,0.33,7.85,10.54,-1.19,10.69,15.89,-1
3.75,172.4,29.28,41.07,0.52,14.51,19.67,0.29,7.44,9.48,0.12,5.96,7.8,346.28,48.41,66.52,-0.1,23.49,33.73,-0.98,17.39,23.67,-0.23,15.15,18.59,1.74,15.17,21.48,2.28,18.23,23.11,-0.04,11.03,16.27,1.11,12.36,17.6,-0.23,5.43,5.13,0.07,3.98,5.02,-1.87,10.2,13.41,-0.68,8.29,12.1,0.42,4.38,5,0.14,3.8,4.53,-0.91,7.46,10.18,-1.78,7.17,9.56,-1
10.38000011,132.5,30.67,41.09,0.25,13,15.97,0.08,7.69,8.62,0.14,5.55,6.78,264.93,54.12,75.17,-0.21,20.43,25.13,-3.98,15.06,22.12,0.95,13.35,15.7,0.67,12.59,13.95,-1.16,17.76,21.87,-0.85,8.9,11.23,0.66,10.8,14.71,0.09,7.03,6.28,0.14,4.23,4.87,-0.66,10.13,10.44,-0.2,7.94,10.54,0.71,3.97,4.81,0.26,4.12,5.19,-0.54,6.2,7.83,0.21,7.2,10.14,-1
4.619999886,147.57,25.6,34.92,0.58,12.81,17.75,0.17,7.42,7.55,0.32,5.79,7.47,296.45,42.85,58.98,-1.68,20.62,28.49,-0.45,14.63,19.58,0.66,11.94,15.81,1.34,13.8,18.64,1.86,16.14,20.3,-0.44,9.16,11.72,-0.94,11,15.29,-0.26,7.24,5.2,0.5,4.03,4.96,-1.29,9.67,12.95,0.41,7.33,10.03,0.17,4.27,5.28,0.18,4.06,5.5,-0.07,6.82,8.95,-0.97,7.18,8.9,-1
9,119.26,33.02,45.02,-0.31,16.19,20.8,-0.1,8.82,9.59,0.04,6.08,7.7,234.29,56.58,80.55,0.02,25.02,34.48,-0.64,17.19,21.21,-0.43,15.36,21.4,-0.23,16.37,20.09,1.16,21.66,28.02,-0.05,10.72,15.41,0.84,13.88,18.85,0.01,7.66,6.28,0.13,4.46,5.11,1.32,11.36,12.25,-0.73,9.94,13.75,-0.25,3.93,4.79,-0.11,3.99,5.19,0.59,6.98,9.37,-0.23,8.21,9.93,-1
12.22000027,110.01,26.34,33.25,-0.39,12.15,15.86,-0.04,4.97,6.22,0.05,4.41,5.58,225.08,45.57,59.37,-0.03,20.82,27.83,0.31,12.11,17.29,-1.26,10.85,14.58,-0.01,12.17,15.25,2.35,17.05,21.08,-0.26,8.39,11.21,-0.35,8.83,12.13,-0.15,4.27,4.16,-0.04,3,3.46,0.61,6.06,6.93,0.22,5.8,7.43,0,3.15,3.41,-0.21,3.07,3.63,-0.42,5.39,7.74,0.79,5.38,6.69,-1
